(8001, '삭힌 홍어', 'en')
(8002, '갈비탕', 'en')
(8006, '불고기전골', 'en')
(8007, '낙지볶음', 'en')
(8009, '약선반찬', 'en')
(8011, '장어탕', 'en')
(8012, '숙회', 'en')
(8013, '전복해물탕', 'en')
(8013, '해물탕', 'en')
(8014, '육사시미', 'en')
(8014, '두툼한생목살', 'en')
(8014, '갈비전골', 'en')
(8018, 'ㆍ채식뷔페 (평일점심', 'en')
(8018, '주말)', 'en')
(8018, '※ 메뉴의 가격은 변동이 많아 표기하지 않으므로 방문 문의요망', 'en')
(8018, '메뉴는 음식점 사정에 따라 변동될 수 있으므로 참고 요망', 'en')
(8019, '소바', 'en')
(8020, '반갈비탕', 'en')
(8020, '갈비전골', 'en')
(8021, '새우메밀전', 'en')
(8022, '교동 떡갈비', 'en')
(8022, '육회', 'en')
(8024, '땅콩크림라떼', 'en')
(8024, '에스프레소', 'en')
(8024, '참기름라떼', 'en')
(8025, '만새전', 'en')
(8025, '고추만새전', 'en')
(8025, '묵은지 김치전', 'en')
(8026, '백반', 'en')
(8027, '함흥냉면', 'en')
(8027, '김치찌개', 'en')
(8027, '우거지', 'en')
(8028, '화덕피자', 'en')
(8028, '파스타', 'en')
(8029, '설렁탕', 'en')
(8029, '수육', 'en')
(8031, '양갈비', 'en')
(8031, '오뎅탕', 'en')
(8034, '산채 정식', 'en')
(8035, '원조 감자탕', 'en')
(8035, '사골로만 감자탕', 'en')
(8036, '안심', 'en')
(8036, '갈비탕', 'en')
(8036, '한우육회비빔밥', 'en')
(8036, '전주비빔밥', 'en')
(8037, '김치만두', 'en')
(8038, '암뽕순대국밥', 'en')
(8038, '피순대', 'en')
(8038, '잡채순대', 'en')
(8039, '황포묵무침', 'en')
(8039, '삼계탕', 'en')
(8001, '삭힌 홍어', 'ja')
(8002, '갈비탕', 'ja')
(8006, '불고기전골', 'ja')
(8007, '낙지볶음', 'ja')
(8009, '약선반찬', 'ja')
(8011, '장어탕', 'ja')
(8012, '숙회', 'ja')
(8013, '전복해물탕', 'ja')
(8013, '해물탕', 'ja')
(8014, '육사시미', 'ja')
(8014, '두툼한생목살', 'ja')
(8014, '갈비전골', 'ja')
(8018, 'ㆍ채식뷔페 (평일점심', 'ja')
(8018, '주말)', 'ja')
